id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
112,male,1.4860936,0.21597286,-0.09256089,-0.31291756,-0.48886436,-0.2390708,-0.07604115,0.39070034,0.01251614
113,male,1.4656585,0.05735761,-0.20962322,-0.059668336,-0.43827912,-0.2700453,-0.07147187,0.49166355,0.098936096
114,male,1.2953597,0.050190378,-0.04759151,-0.5013207,-0.5396533,-0.22693972,0.073636115,0.27217007,0.07831572
115,male,1.3440887,0.06045194,-0.08054541,-0.4566718,-0.5264911,-0.24015114,-0.021669628,0.25244597,0.06386333
116,male,1.0667908,-0.22149932,-0.067145064,-0.65884554,-0.65265375,-0.22759876,0.2121134,0.21768805,0.12678811
117,male,1.1041298,-0.2692962,-0.13928665,-0.50500685,-0.6096857,-0.2544177,0.11326229,0.22886908,0.15892237
118,male,1.5421133,0.22818023,-0.105900295,-0.26121587,-0.37426716,-0.25507754,-0.18199535,0.23045176,0.0698654
119,male,1.3339748,0.08026428,-0.039603997,-0.54358786,-0.5124159,-0.23241177,-0.010881479,0.15190555,0.07885466
120,male,1.4161557,0.16540755,-0.081498384,-0.26121256,-0.5236229,-0.22915746,0.083057344,0.52069134,0.0584156
121,male,1.3162305,0.054546557,-0.096189685,-0.23313224,-0.5968345,-0.22292502,0.24299332,0.65757763,0.09076051
122,male,2.0403757,0.8656598,-0.090595596,0.2800058,-0.44639984,-0.21029563,-0.067840956,1.1005555,-0.14722738
123,male,2.0143251,1.01273,0.067120336,0.02920746,-0.38014483,-0.18192764,-0.07295709,0.86707133,-0.14885743
124,male,2.056896,0.8535348,-0.1253756,0.291388,-0.42180908,-0.21055399,-0.08342837,1.1247079,-0.18582529
125,male,2.1063561,1.2049832,0.11159661,-0.04382636,-0.35390428,-0.15671779,-0.10763619,0.9444643,-0.2912405
126,male,1.4229068,0.57751495,0.1936978,-0.4922791,-0.6394404,-0.1281252,0.44664845,0.867512,-0.09733084
127,male,1.4672953,0.26023278,-0.07295895,-0.12782863,-0.63415533,-0.20878063,0.25017554,0.85965616,0.020722084
128,male,1.317933,0.18584692,0.010748772,-0.3663769,-0.65603065,-0.19088967,0.34480897,0.6860972,0.05732795
129,male,1.8643253,0.6845184,-0.061780177,0.0012274378,-0.432895,-0.21125919,-0.07742875,0.78222775,-0.107413754
130,male,1.112409,-0.33653876,-0.20827958,-0.3327356,-0.6864009,-0.26136047,0.20945346,0.44754902,0.18125962
131,male,1.2601309,-0.25147834,-0.27428687,-0.114923276,-0.64560527,-0.27440733,0.13778785,0.5880617,0.15970679
132,male,1.3050737,0.53463924,0.20908003,-0.28433633,-0.8427936,-0.09724436,0.8658018,1.4449996,-0.066544674
133,male,1.3055774,-0.014436378,-0.121078484,-0.3857837,-0.54577327,-0.24473856,0.030689962,0.35065922,0.07526288
134,male,1.3248874,0.05848426,-0.08530638,-0.3681212,-0.5268647,-0.23824455,0.038907096,0.3819364,0.074147254
135,male,1.30005,0.02313435,-0.09080857,-0.37162066,-0.54304475,-0.2391377,0.06201181,0.3857326,0.086832
136,male,1.406752,0.111439615,-0.12818293,-0.10871176,-0.58157426,-0.23033428,0.20277053,0.73328674,0.08482885
137,male,1.4117591,0.16645625,-0.092826314,-0.1586599,-0.5763218,-0.22445421,0.1797534,0.70915604,0.06254966
138,male,1.4428833,0.15036707,-0.13401878,-0.07521681,-0.5500799,-0.23142081,0.17012873,0.7486489,0.06807413
139,male,1.7011728,0.30412102,-0.22735748,0.19914033,-0.5539963,-0.2520962,0.022796573,0.92229027,0.015688328
140,male,1.3860933,0.14270519,-0.08314901,-0.18731122,-0.60413545,-0.22389834,0.2005045,0.6903411,0.0788164
141,male,1.0867478,-0.36593693,-0.19983168,-0.42167455,-0.6880411,-0.26293564,0.17488278,0.33965087,0.17997089
142,male,1.2445552,0.08600858,-0.029098885,-0.3588598,-0.61371523,-0.20211564,0.31004676,0.67093015,0.05341235
143,male,1.1823204,0.38394475,0.21355525,-0.49363402,-0.85731316,-0.103810444,0.82594985,1.1987307,-0.04502851
144,male,0.92230266,0.075425215,0.22391608,-0.7659858,-0.80128086,-0.12509371,0.7735013,0.74501485,0.08036296
145,male,1.0817795,-0.34031108,-0.17201376,-0.4932407,-0.67135537,-0.25723612,0.15961199,0.27373636,0.16735393
146,male,1.2558796,0.1278459,-0.008224862,-0.41962424,-0.66647,-0.1933714,0.31604904,0.69564766,0.009889137
147,male,1.2463386,-0.15182056,-0.17636818,-0.31999558,-0.621197,-0.25528368,0.10506246,0.42870477,0.12166287
148,male,1.4109899,0.68168485,0.2221562,-0.09647704,-0.8470188,-0.0921511,0.9013789,1.6617484,-0.06969094
149,male,1.3116939,0.06747724,-0.07261155,-0.4176679,-0.56172603,-0.22633891,0.094002716,0.4256672,0.042580776
150,male,1.4740367,0.3352595,0.0056848307,-0.3892578,-0.5528121,-0.20288457,0.09400416,0.51699764,-0.014184929
