id,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
151,female,-0.00846526,-0.14456676,0.35756552,0.041644678,-0.29564112,0.28861699,-0.26157445,0.22460692,0.040090956
152,female,0.01528762,-0.18024443,0.55167437,0.008543834,-0.19386238,0.49984258,-0.1933951,0.2953017,0.029795174
153,female,-0.024274072,-0.25890836,0.27264723,0.030196432,-0.34360793,0.16519256,-0.26614738,0.19088496,-0.04346478
154,female,0.051733665,0.6897308,0.41906136,0.1740941,-0.32405874,0.23967399,-0.5987401,0.12514071,0.34192738
155,female,-0.0039677178,0.13256338,0.42041656,0.05530095,-0.31144574,0.20731208,-0.3529386,0.13420853,0.01739236
156,female,0.015741767,-0.07499874,0.19433862,0.11485013,-0.34725285,0.25338104,-0.3697646,0.28075796,0.2394592
157,female,0.06714285,0.89008456,0.75304735,0.13793857,-0.18352197,0.49699202,-0.472063,0.1562171,0.28553355
158,female,0.06714285,0.89008456,0.75304735,0.13793857,-0.18352197,0.49699202,-0.472063,0.1562171,0.28553355
159,female,0.0036674072,0.054503657,0.36229268,0.09931931,-0.28136495,0.3560401,-0.27986258,0.23823807,0.16778804
160,female,0.009324027,0.09439843,0.27256468,0.13230844,-0.3442778,0.19211262,-0.41732,0.15072878,0.13773094
161,female,0.035438243,0.6126612,0.4031631,0.20113131,-0.3036891,0.29436293,-0.47703183,0.1381306,0.30486766
162,female,0.00732738,0.11602556,-0.047622986,0.19803874,-0.4377027,0.15934873,-0.48916125,0.26836136,0.51155585
163,female,-0.01162773,-0.53037316,0.15164213,0.038007487,-0.36281428,0.16736718,-0.27412924,0.26989925,-0.005335107
164,female,0.063147075,0.8023722,0.32965252,0.21278565,-0.35656238,0.22415248,-0.6258737,0.19086376,0.48059574
165,female,-0.027173806,-0.52713776,0.2338252,0.009086031,-0.3516529,0.12484462,-0.23387705,0.19953494,-0.16405872
166,female,0.08931693,0.9430977,0.7393247,0.16610388,-0.17968912,0.5357757,-0.49590436,0.2177542,0.37116355
167,female,0.044843223,0.17995259,0.7281074,0.045725092,-0.15648566,0.51608884,-0.25452146,0.24067354,-0.012981423
168,female,0.108581744,0.8297417,0.5546664,0.21845877,-0.12782657,0.92758584,-0.3922317,0.54261464,0.95880044
169,female,-0.0028506399,0.30156016,0.58334273,0.083945066,-0.29049325,0.111004576,-0.34443015,-0.018689116,-0.27353972
170,female,0.060124267,0.45031253,0.16237985,0.24215259,-0.2725446,0.669953,-0.4091342,0.50200915,0.95594007
171,female,-0.021645226,-0.5392528,0.21781991,0.037695244,-0.3023313,0.32832545,-0.17577295,0.29621065,0.047440898
172,female,0.05881943,0.021276096,0.38587442,0.121108614,-0.18819368,0.7249444,-0.20887621,0.54484546,0.5459808
173,female,0.06806771,0.7633062,0.026705688,0.29157087,-0.4062848,0.32935214,-0.6577534,0.3604709,0.9410572
174,female,-0.026652979,-0.2745155,0.37685,0.010843486,-0.30629086,0.19939074,-0.21537054,0.16466714,-0.15587369
175,female,0.053863518,0.5250258,0.27016455,0.19644846,-0.3365063,0.31677988,-0.5594161,0.24811876,0.5217757
176,female,0.020506728,0.19995576,0.8546561,0.01614335,-0.09963382,0.60802484,-0.14409429,0.1957943,-0.095512025
177,female,0.027555935,0.1450343,0.9354895,-0.012974432,-0.05095023,0.72311145,-0.07961752,0.2607289,-0.08688056
178,female,0.010738554,0.24675341,0.80630326,0.024861885,-0.13187046,0.5338912,-0.16942453,0.15847191,-0.099561766
179,female,0.03224729,0.031951364,0.8016921,0.009970327,-0.11867435,0.56264037,-0.1773907,0.21994184,-0.13341992
180,female,0.04002621,-0.02059503,0.8748533,-0.015034387,-0.07447415,0.665997,-0.13183242,0.2716667,-0.12351586
181,female,0.022629723,0.04480463,0.75760686,0.014160113,-0.14430119,0.5054065,-0.19313279,0.19054717,-0.138876
182,female,-0.0227418,-0.22146869,0.401455,0.011256529,-0.30057934,0.20801428,-0.23040761,0.15942551,-0.14531426
183,female,0.104304455,0.82996297,0.4116605,0.25269106,-0.16889967,0.9071176,-0.4154614,0.58002394,1.1032889
184,female,0.012108141,0.1613681,0.111832686,0.16430251,-0.35501093,0.34605178,-0.39412218,0.32802227,0.53860277
185,female,0.0830127,0.47584495,-0.004232415,0.29272914,-0.31967613,0.6632498,-0.5169825,0.5833062,1.1953411
186,female,0.095591605,0.9961697,-0.061106153,0.37260085,-0.38317284,0.54986084,-0.7100821,0.5016304,1.3967502
187,female,0.060639843,0.47021762,-0.66266716,0.45756468,-0.5305782,0.4667251,-0.6948282,0.653266,1.7527033
188,female,-0.012192049,-0.07382049,0.31762126,0.058410786,-0.31461877,0.26337698,-0.26845646,0.22497594,0.083175555
189,female,0.089005634,0.8652293,0.36442545,0.24788858,-0.25808826,0.59579754,-0.5597733,0.3795387,0.864011
190,female,0.038864907,0.6277771,1.0596633,0.003283671,0.0049493364,0.9210678,-0.11476817,0.30124626,0.22330986
191,female,0.089876495,0.5633839,0.29796937,0.23180805,-0.20877773,0.81953937,-0.45962384,0.53678566,1.0532771
192,female,-0.06984408,-0.2507764,-0.0020903323,0.081330255,-0.44015402,0.042688314,-0.27802226,0.1464376,0.117123604
193,female,-0.036660653,-0.6289373,0.14117612,0.022535922,-0.3632039,0.15059777,-0.19972368,0.2381526,-0.0886386
194,female,0.027305897,0.16539654,0.32022208,0.14243138,-0.2766706,0.43838137,-0.31466115,0.3252177,0.36354512
195,female,-0.043432,-0.68661636,0.018146813,0.03632185,-0.40981644,0.0808885,-0.23273908,0.24254507,-0.036171194
196,female,0.0049352013,-0.35933545,0.5230752,-0.009360232,-0.21508992,0.40703875,-0.2003881,0.23697859,-0.11630029
197,female,0.024876846,-0.052707545,0.7113129,0.017736299,-0.12525454,0.6170244,-0.13791786,0.28670847,-0.012903965
198,female,0.10297396,0.49281123,1.159215,0.05839144,0.0754404,1.0476786,-0.13809603,0.37883577,0.1609699
199,female,0.004710041,-0.047355726,0.47497034,0.046889417,-0.2148764,0.5066233,-0.21760608,0.28209049,0.17322153
200,female,-0.030982224,-0.5693627,0.10247201,0.03360214,-0.3781322,0.1472169,-0.24434869,0.25418442,0.00017090116
201,female,0.029799659,0.49445197,0.21921039,0.18622607,-0.3385168,0.36106053,-0.438146,0.31288967,0.57876855
202,female,-0.056917235,-0.3089991,0.46463677,-0.051295757,-0.25981185,0.30607185,-0.08568864,0.17797275,-0.17083013
203,female,-0.015756138,-0.23834915,0.37521353,0.022535704,-0.2980472,0.2426432,-0.23147477,0.19856909,-0.08272928
204,female,0.030684507,-0.11085748,0.7645937,-0.005673947,-0.10676735,0.63333267,-0.1387178,0.2852282,-0.06765299
205,female,-0.015190226,-0.39414284,0.09148599,0.08234542,-0.3612096,0.24824163,-0.27898726,0.29736423,0.19638734
206,female,0.05331832,0.6972345,0.01990122,0.28523394,-0.41055563,0.29875305,-0.6238719,0.32403734,0.86490834
207,female,0.059396446,0.65062994,0.23397751,0.22312321,-0.33339873,0.38990247,-0.6012879,0.2784645,0.7144109
208,female,0.06881236,0.92409885,1.070009,0.06303331,-0.04326525,0.75595766,-0.23552342,0.25010216,0.16102546
209,female,-0.1154001,0.41131222,0.62845004,-0.03502896,-0.18641745,0.55104715,0.09955242,0.1555477,0.12927118
210,female,0.041993223,0.5111349,-0.27249417,0.3379007,-0.44699255,0.41881368,-0.57815176,0.49166143,1.2422315
211,female,0.009467783,0.110356264,0.32839212,0.12964888,-0.2983489,0.3209619,-0.33543485,0.20939367,0.19393131
212,female,-0.049142353,0.1537583,0.2713257,0.07703356,-0.43250895,-0.15113738,-0.45277125,-0.10637246,-0.20824511
213,female,0.096725404,1.0044372,1.3080328,0.026115764,0.054094717,0.9285129,-0.22702065,0.27080122,0.13109447
214,female,0.10344849,1.0785283,1.225201,0.07082987,0.004361805,0.8098495,-0.38935956,0.16728945,0.16102402
215,female,0.014341363,0.2583618,0.5552195,0.06865048,-0.28794706,0.16918066,-0.3589557,0.083240524,-0.15338601
216,female,0.0024652877,0.3699189,0.47046542,0.083158985,-0.306282,0.20900446,-0.41312546,0.08310232,0.06649097
217,female,0.006573205,-0.15245359,0.3104576,0.06388654,-0.2953572,0.33887452,-0.27545473,0.2935944,0.15344942
218,female,0.07389185,1.0921617,0.7990555,0.15326774,-0.22126007,0.32605237,-0.5643721,0.04606875,0.14092407
219,female,0.08760496,1.0763621,0.86483234,0.15187407,-0.16031538,0.50206435,-0.53621715,0.11078476,0.25244564
220,female,-0.018457014,-0.121621534,0.3330717,0.030816412,-0.33009973,0.18299305,-0.32676908,0.14686301,-0.010753564
221,female,-0.03075904,-0.58412194,0.11702087,0.03046995,-0.38240045,0.11009597,-0.23733959,0.23906864,-0.071388856
222,female,0.04038021,0.34964636,0.19050696,0.17412208,-0.36278075,0.27123845,-0.53920054,0.26044235,0.49738833
223,female,-0.039314922,-0.17343432,0.35426307,0.018894663,-0.36098212,0.011110079,-0.2930884,0.03529061,-0.28656256
224,female,0.035579436,0.38030952,0.8780819,0.01804102,-0.15027906,0.4226152,-0.25039038,0.13256162,-0.21208589
